"ccg","org_cd","pop_2019","pop_2020","region","access_2021","access_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","number_referred","avg_wait_2122","perc_closed_2122","Q1.2017.18","Q2.2017.18","Q3.2017.18","Q4.2017.18","Q1.2018.19","Q2.2018.19","Q3.2018.19","Q4.2018.19","Q1.2019.20","Q2.2019.20","Q3.2019.20","Q4.2019.20","Q1.2020.21","Q2.2020.21","Q3.2020.21","Q4.2020.21","Q1.2021.22","Q2.2021.22","Q3.2021.22","Q4.2021.22","Q1.2017.18.1","Q2.2017.18.1","Q3.2017.18.1","Q4.2017.18.1","Q1.2018.19.1","Q2.2018.19.1","Q3.2018.19.1","Q4.2018.19.1","Q1.2019.20.1","Q2.2019.20.1","Q3.2019.20.1","Q4.2019.20.1","Q1.2020.21.1","Q2.2020.21.1","Q3.2020.21.1","Q4.2020.21.1","Q1.2021.22.1","Q2.2021.22.1","Q3.2021.22.1","Q4.2021.22.1","Q1.2020.21.2","Q2.2020.21.2","Q3.2020.21.2","Q4.2020.21.2","Q1.2021.22.2","Q2.2021.22.2","Q3.2021.22.2","Q4.2021.22.2"
"NHS Kent and Medway CCG","91Q",408818,412012,"South East",15665,17465,261858712,270449710.4,289687946.7,304220949.5,318437091.5,0.113403471,0.115339958,0.116719293,0.105072746,0.10998276,20594448.17,21002703.6,20984694.22,23884059.48,23306425.53,971185,950698.575,1035606.263,1355684.4,1612896.35,27320,43,46,4112,3721,"4050","3935","3557",3382,3925,"4075","4663","4258",3256,"3473","3768","3785","3609",3485,"3466","3120","2038","1720","7","6","7","11","14","5","11","13","15","10","*","*","8","5","7","14","*","*","*","*","*","20","20","5","75","10","*","*"
"NHS Surrey Heartlands CCG","92A",233286,234575,"South East",7170,10530,132453674.9,146716156.2,158137463.8,176675000,184153346.5,0.110455593,0.113066537,0.115559886,0.108500359,0.113092991,10239714.32,14290791.03,15296488.05,14834000,16512106.16,1559525.648,1122734.292,1201995.721,1386000,1419445.167,17030,51,28,1340,1380,"1471","1753","1579",1522,1447,"1319","1346","1227",1492,"1655","1366","1620","1690",1830,"1912","1675","1354","972","50","28","39","38","34","26","40","36","43","28","24","37","41","23","31","19","25","18","9","20","*","15","*","5","*","*","20","20"
"NHS Bath and North East Somerset, Swindon and Wiltshire CCG","92G",194237,195342,"South West",4925,5250,120810000,130455740.4,143651857.9,152640872.6,163452784.7,0.109307874,0.117161117,0.121903536,0.11574207,0.123940353,10724000,11632616.46,12103778.11,13606189.29,16569898.91,683000,455570,462044,472390.0989,817833.1219,9460,47,33,1416,1472,"1945","1949","2281",1782,2167,"2127","2182","1726",1689,"1767","1509","1058","1652",1807,"1730","1409","970","814","8","22","10","16","9","15","11","8","10","14","13","11","18","14","12","9","11","9","6","13","20","*","*","*","*","*","*","*"
"NHS North Central London CCG","93C",332659,335865,"London",11880,12335,308571247.1,334275471.5,341642882.8,353511527.2,367510594.2,0.156053655,0.1681018,0.162486069,0.138003555,0.1434685,23433489.91,31390507.86,35129335.07,37879838,40246409.96,1878439.115,1833006.455,2013668.867,2155838.703,2396157.897,14360,42,25,4675,4787,"5134","5452","4162",4148,3911,"4508","5069","4383",4867,"4633","4431","4431","3816",3536,"3526","2093","2834","2641","16","20","26","27","31","27","26","18","14","17","17","13","8","17","11","13","18","16","6","11","*","*","10","10","*","*","*","*"
"NHS East Sussex CCG","97R",106338,106575,"South East",3065,3665,84573022.94,85590023.85,93635069.91,99517589.76,109067155.6,0.110819352,0.112336871,0.116284355,0.094274393,0.103320829,6178720.007,5465791.65,5798310.219,7460723.383,7999987.919,35000,117582,119000,548975.7337,465337.8405,5870,39,5,1207,997,"1431","1116","691",450,751,"612","574","418",357,"481","668","825","729",690,"874","791","883","773","34","41","43","32","33","28","33","38","36","36","37","33","44","29","16","24","24","10","22","27","*","*","*","5","45","*","*","*"
"NHS North East London CCG","A3A8R",488757,492913,"London",13880,17300,330934088.3,341017822.8,359569621.5,379297813.6,399934607.2,0.125825102,0.132141752,0.131065431,0.117792693,0.124201545,28388400.61,27438257.45,33023335.85,37567449.76,38880593.25,1178819,1169988.279,1020617.29,1533563.716,2494298.372,19895,31,25,3366,3213,"3405","3632","3597",3690,3971,"4357","5339","4987",4503,"4552","3512","4557","4503",3857,"3980","3104","3464","3139","9","12","10","9","5","*","*","5","*","5","8","14","7","9","*","9","*","5","7","*","*","*","45","515","290","50","50","*"
"NHS North West London CCG","W2U3Z",473289,477394,"London",11805,13580,417853530,436392831.1,455444257.1,488091604,517696832,0.125943865,0.153573738,0.152363974,0.134397978,0.142549896,16562783.57,33387480.88,35879957.15,39369751.72,41302176,998390.1838,1053612.092,1300415.512,1776018.944,1880578.772,16310,44,34,5745,4590,"4199","4080","4780",5458,6429,"6395","6024","4193",4859,"5408","3770","3449","3895",4031,"4234","4093","3721","3518","50","41","38","50","54","48","56","56","56","56","48","55","29","55","54","45","35","34","34","32","*","*","75","80","135","45","20","85"
"NHS Bedfordshire, Luton and Milton Keynes CCG","M1J4Y",231963,235166,"East of England",11305,12975,156513646.4,165197389.8,176814938,192476389.8,203646349.2,0.129146004,0.141720776,0.142909744,0.133648523,0.141404532,12927874,12745000,14099146,16431622.53,17652989.61,474000,711000,960762,1181142.438,1830556.713,14965,26,22,2293,2674,"3009","2830","2624",2223,2948,"3248","3054","2422",2417,"2252","2279","3054","2387",2623,"2654","2332","2373","1498","57","37","53","36","57","64","60","65","41","33","49","39","32","41","38","28","28","23","31","31","10","*","20","50","115","85","90","115"
"NHS Coventry and Warwickshire CCG","B2M3M",197485,199960,"Midlands",5915,6805,185919823.7,201392360,208645322.7,231597665.6,244096235.7,0.116119405,0.170926288,0.167340366,0.156390405,0.164830285,7395723.316,10048440,11849809.67,12971319.13,13555202.62,761016.9126,1117960,710130,854804.6137,1061762.745,11765,49,31,2983,3540,"4219","3614","4295",4163,4155,"3920","3131","2956",3230,"3253","2361","2464","2250",2398,"2582","2357","1864","2046","40","23","39","33","30","31","37","36","31","19","30","28","28","23","24","29","18","16","12","14","10","75","30","190","*","*","15","5"
"NHS Shropshire, Telford and Wrekin CCG","M2L0M",101133,101939,"Midlands",3195,3430,65472000,67551000,82533654.43,90438584.58,95397000,0.125943865,0.110755322,0.128073726,0.113508276,0.119731518,4962000,5236000,5651665.298,6386436.964,6599000,480000,385000,378223.578,394898.0657,471000,6710,31,39,1045,946,"1396","1123","839",942,1063,"957","1128","1234",903,"826","665","1102","1135",1004,"728","423","483","608","22","32","34","19","28","18","17","17","21","18","19","20","17","21","15","11","21","10","7","16","*","20","25","10","215","85","80","50"
"NHS Black Country and West Birmingham CCG","D2P2L",329806,331127,"Midlands",9775,10545,254940329.3,270095687.2,291879105.2,334206461.2,348861053.6,0.111506026,0.145030433,0.147635142,0.145886244,0.152283199,21015111.62,23806890.3,24556584.54,26904389.68,29926821.64,1923896.326,1531942.128,1589864.336,1638364.771,1687385.766,19550,57,35,2579,2692,"2762","2602","2483",2150,2007,"1762","1540","1487",1380,"1453","1605","1857","1901",1447,"1069","646","704","910","10","9","12","8","8","6","6","13","8","8","5","*","9","10","8","8","*","*","*","*","*","90","*","15","20","*","*","*"
"NHS Kirklees CCG","X2C4Y",100094,100020,"North East and Yorkshire",5280,5755,81885942.19,82636031.2,88091167.73,94643694.64,98601796.35,0.153716573,0.15020691,0.151724629,0.154790295,0.161263792,3495518.443,4081902.132,4192000,4491000,4580602.581,209000,211000,219286.4232,228225.5272,252563.0336,6635,31,14,453,486,"701","493","742",588,575,"585","859","668",576,"731","443","685","586",773,"749","327","611","428","18","20","19","15","17","17","9","11","12","9","7","16","11","17","14","9","7","*","6","7","*","*","*","*","45","*","45","70"
"NHS Hampshire, Southampton and Isle of Wight CCG","D9Y0V",323072,324703,"South East",10645,14420,253878271.8,267848981.5,290159906.2,313852009.1,332339380,0.157993636,0.133468762,0.137053484,0.125087439,0.132455682,16929034.96,18772411.64,20670537.02,21697572.39,23441034.24,1682144,1779515.608,1809030.8,2048666.667,2066724.596,26885,57,29,3126,3312,"3733","3303","2893",3376,3733,"3954","3235","3199",3054,"2871","2461","1841","1762",1850,"2182","2291","2087","1769","7","*","7","*","7","7","*","7","8","*","5","5","7","9","8","*","7","6","*","*","*","*","*","*","15","*","15","*"
"NHS Frimley CCG","D4U1Y",175633,176614,"South East",5745,6515,116636406,122886796.5,130580209.9,136695957.8,147478294.1,0.125943865,0.134937824,0.136030971,0.127960195,0.13805347,10618788.15,11090272.92,12195327.22,14245388.53,15206727.68,821000,928586.5293,1069060.139,1347814.432,1468190.704,11745,54,26,888,1225,"976","983","902",1188,1123,"996","1081","979",1286,"1080","1155","902","976",951,"708","545","780","602","18","21","23","7","36","39","35","30","26","27","27","27","23","21","16","18","10","20","17","19","180","15","*","*","*","*","*","25"
