Clinical Commissioning Group (CCG),CCG code,org_cd,Region,% percentage of children referred to CYPMHS,Average waiting time before treatment (days),% of referrals closed before treatment,CCG overall score,no_referred_2021
NHS NORTHUMBERLAND CCG,E38000130,00L,North East and Yorkshire,0.05,21,0.25,18,"3,000"
NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,E38000243,52R,Midlands,0.05,45,0.18,15,"11,125"
NHS OLDHAM CCG,E38000135,00Y,North West,0.04,39,0.23,12,"2,105"
NHS OXFORDSHIRE CCG,E38000136,10Q,South East,0.04,52,0.31,9,"6,005"
NHS PORTSMOUTH CCG,E38000137,10R,South East,0.04,55,0.27,10,"1,665"
NHS REDBRIDGE CCG,E38000138,08N,London,0.02,33,0.13,11,"1,645"
NHS ROTHERHAM CCG,E38000141,03L,North East and Yorkshire,0.05,20,0.17,21,"2,910"
NHS SALFORD CCG,E38000143,01G,North West,0.05,27,0.34,18,"2,835"
NHS SANDWELL AND WEST BIRMINGHAM CCG,E38000144,05L,Midlands,0.03,29,0.31,15,"4,175"
NHS SHEFFIELD CCG,E38000146,03N,North East and Yorkshire,0.03,43,0.33,12,"3,990"
NHS SHROPSHIRE CCG,E38000147,05N,Midlands,0.04,22,0.32,11,"2,630"
NHS SOMERSET CCG,E38000150,11X,South West,0.03,15,0.35,11,"3,740"
NHS SOUTH EAST LONDON CCG,E38000244,72Q,London,0.03,29,0.12,17,"11,770"
NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,E38000153,05Q,Midlands,0.04,58,0.34,15,"1,860"
NHS SOUTH EASTERN HAMPSHIRE CCG,E38000154,10V,South East,0.05,65,0.23,12,"2,220"
NHS SOUTH SEFTON CCG,E38000161,01T,North West,0.03,28,0.15,18,"1,040"
NHS SOUTH TYNESIDE CCG,E38000163,00N,North East and Yorkshire,0.09,57,0.18,20,"2,565"
NHS SOUTH WARWICKSHIRE CCG,E38000164,05R,Midlands,0.04,54,0.22,10,"1,995"
NHS SOUTH WEST LONDON CCG,E38000245,36L,London,0.04,28,0.28,14,"12,365"
NHS SOUTHAMPTON CCG,E38000167,10X,South East,0.04,34,0.39,17,"2,015"
NHS SOUTHEND CCG,E38000168,99G,East of England,0.04,10,0.3,12,"1,585"
NHS SOUTHPORT AND FORMBY CCG,E38000170,01V,North West,0.02,27,0.15,12,510
NHS ST HELENS CCG,E38000172,01X,North West,0.05,28,0.39,15,"1,985"
NHS STAFFORD AND SURROUNDS CCG,E38000173,05V,Midlands,0.04,64,0.37,16,"1,315"
NHS STOCKPORT CCG,E38000174,01W,North West,0.04,38,0.33,9,"2,820"
NHS STOKE ON TRENT CCG,E38000175,05W,Midlands,0.05,23,0.31,13,"3,040"
NHS SUNDERLAND CCG,E38000176,00P,North East and Yorkshire,0.07,55,0.26,17,"3,855"
NHS SURREY HEARTLANDS CCG,E38000246,92A,South East,0.04,47,0.23,10,"10,040"
NHS SURREY HEATH CCG,E38000178,10C,South East,0.05,53,0.2,17,975
NHS TAMESIDE AND GLOSSOP CCG,E38000182,01Y,North West,0.04,46,0.17,14,"2,330"
NHS TEES VALLEY CCG,E38000247,16C,North East and Yorkshire,0.06,17,0.21,24,"9,075"
NHS TELFORD AND WREKIN CCG,E38000183,05X,Midlands,0.04,26,0.3,16,"1,840"
NHS THURROCK CCG,E38000185,07G,East of England,0.03,14,0.28,11,"1,455"
NHS TOWER HAMLETS CCG,E38000186,08V,London,0.02,12,0.12,20,"1,725"
NHS TRAFFORD CCG,E38000187,02A,North West,0.04,29,0.22,12,"2,210"
NHS VALE OF YORK CCG,E38000188,03Q,North East and Yorkshire,0.04,43,0.16,17,"2,925"
NHS WAKEFIELD CCG,E38000190,03R,North East and Yorkshire,0.06,17,0.17,25,"4,260"
NHS WALSALL CCG,E38000191,05Y,Midlands,0.05,48,0.25,17,"3,265"
NHS WALTHAM FOREST CCG,E38000192,08W,London,0.03,19,0.22,17,"1,740"
NHS WARRINGTON CCG,E38000194,02E,North West,0.06,33,0.26,16,"2,515"
NHS WARWICKSHIRE NORTH CCG,E38000195,05H,Midlands,0.04,56,0.22,12,"1,550"
NHS WEST ESSEX CCG,E38000197,07H,East of England,0.03,10,0.32,12,"2,200"
NHS WEST HAMPSHIRE CCG,E38000198,11A,South East,0.05,49,0.19,14,"5,400"
NHS WEST LANCASHIRE CCG,E38000200,02G,North West,0.05,48,0.25,15,"1,065"
NHS WEST LEICESTERSHIRE CCG,E38000201,04V,Midlands,0.04,10,0.15,15,"2,865"
NHS WEST LONDON CCG,E38000202,08Y,London,0.02,36,0.17,19,950
NHS WEST SUFFOLK CCG,E38000204,07K,East of England,0.05,26,0.24,17,"2,320"
NHS WEST SUSSEX CCG,E38000248,70F,South East,0.04,38,0.28,8,"6,175"
NHS WIGAN BOROUGH CCG,E38000205,02H,North West,0.04,26,0.32,13,"2,795"
NHS WIRRAL CCG,E38000208,12F,North West,0.06,24,0.11,20,"4,165"
NHS WOLVERHAMPTON CCG,E38000210,06A,Midlands,0.05,36,0.16,22,"2,980"
